"","rut","tipo_dif_6","ventas_inicio","monto_op","tasa_anual","plazo","es_mujer","es_hombre","es_pj","para_cap_trab","para_inv","para_cap_trab_inv","comercio","alimento","agricultura","region","eval"
"322",6659,"3 Mayor a 5%",-0.766435234487484,0.350619163557021,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"4",FALSE
"323",6746,"2 entre -5% y 5%",-0.332375457493675,-0.0572462034815037,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"6",FALSE
"324",6762,"2 entre -5% y 5%",0.614474322062521,4.32748623377189,0.137694153599676,2.22770610888117,1,0,0,1,0,0,1,0,0,"13",FALSE
"325",6776,"2 entre -5% y 5%",0.318713874545572,4.37707720645273,0.137694153599676,-1.18608230603183,0,1,0,1,0,0,1,0,0,"13",FALSE
"327",6818,"2 entre -5% y 5%",1.24884172992412,0.921583275319921,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"5",FALSE
"328",6833,"2 entre -5% y 5%",-0.533903187279981,0.631429150840957,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"13",FALSE
"335",6984,"2 entre -5% y 5%",-0.177354203839162,2.25496854453104,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"336",6986,"2 entre -5% y 5%",0.0861818273380694,1.931532226885,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"340",7044,"2 entre -5% y 5%",-0.537473785590867,-0.126416915992456,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"3",FALSE
"341",7101,"2 entre -5% y 5%",0.170739450747611,3.63717735791603,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"5",FALSE
"344",7245,"2 entre -5% y 5%",-0.770808783931412,1.48127552010682,0.137694153599676,1.37425900515292,1,0,0,1,0,0,1,0,0,"8",FALSE
"345",7267,"3 Mayor a 5%",-0.688924440934494,-0.771939380520114,0.137694153599676,-1.18608230603183,1,0,0,1,0,0,1,0,0,"8",FALSE
"346",7274,"2 entre -5% y 5%",-0.333925673364734,0.577011550334212,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"349",7335,"2 entre -5% y 5%",0.163692620891059,0.588417678489208,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"5",FALSE
"351",7355,"2 entre -5% y 5%",-0.673422282223896,0.890653410920399,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"10",FALSE
"354",7588,"2 entre -5% y 5%",6.61093005619311,3.79767589216288,0.137694153599676,1.37425900515292,0,1,0,1,0,0,1,0,0,"13",FALSE
"355",7695,"2 entre -5% y 5%",-0.491395794594438,-0.36473292138929,0.137694153599676,-0.332635202303582,1,0,0,1,0,0,1,0,0,"13",FALSE
"358",7808,"2 entre -5% y 5%",0.628756381854597,3.33171296762405,0.137694153599676,0.520811901424669,1,0,0,1,0,0,1,0,0,"8",FALSE
